window_function,window_length,hop_fraction,PercSS,p_value
boxcar,10,1.0,4.097691780525305,0.037962038069963455
boxcar,10,0.75,4.0799108299458045,0.030969031155109406
boxcar,10,0.5,4.091744422571342,0.03396603465080261
boxcar,10,0.25,4.0872717612487275,0.02997002936899662
boxcar,10,0.1,4.0877563859050845,0.039960041642189026
boxcar,20,1.0,4.223450442448329,0.04095904156565666
boxcar,20,0.75,4.189979219076595,0.04795204848051071
boxcar,20,0.5,4.169502371988309,0.04595404490828514
boxcar,20,0.25,4.167168307142439,0.056943055242300034
boxcar,20,0.1,4.170358340172377,0.051948051899671555
boxcar,40,1.0,4.163327380943078,0.04595404490828514
boxcar,40,0.75,4.249440334949149,0.039960041642189026
boxcar,40,0.5,4.252289909430931,0.05294705182313919
boxcar,40,0.25,4.256621064416044,0.042957041412591934
boxcar,40,0.1,4.254246386325667,0.042957041412591934
boxcar,60,1.0,4.350067310024939,0.0419580414891243
boxcar,60,0.75,4.321663873442327,0.04595404490828514
boxcar,60,0.5,4.283214282281314,0.046953048557043076
boxcar,60,0.25,4.290575087194373,0.03896103799343109
boxcar,60,0.1,4.287265017171363,0.037962038069963455
boxcar,100,1.0,4.176333766754706,0.0419580414891243
boxcar,100,0.75,4.273919438091601,0.04795204848051071
boxcar,100,0.5,4.298152837658229,0.04395604506134987
boxcar,100,0.25,4.336478983881031,0.04795204848051071
boxcar,100,0.1,4.3173170003795525,0.05094905197620392
boxcar,200,1.0,5.026919564196504,0.039960041642189026
boxcar,200,0.75,4.236265711573179,0.05794205889105797
boxcar,200,0.5,4.378110287652671,0.056943055242300034
boxcar,200,0.25,4.322485025188145,0.049950048327445984
boxcar,200,0.1,4.3432890017374275,0.058941058814525604
boxcar,400,1.0,3.938509429312126,0.07592407613992691
boxcar,400,0.75,4.376427805987278,0.05794205889105797
boxcar,400,0.5,4.048321878637076,0.0729270726442337
boxcar,400,0.25,4.424973548209873,0.060939062386751175
boxcar,400,0.1,4.426281862577233,0.05994005873799324
boxcar,800,1.0,4.758539927913863,0.04395604506134987
boxcar,800,0.75,3.8844336201160004,0.09190808981657028
boxcar,800,0.5,4.1593703969264375,0.09490509331226349
boxcar,800,0.25,4.12711502422356,0.07592407613992691
boxcar,800,0.1,4.364053176911059,0.0559440553188324
boxcar,1200,1.0,4.310438151122297,0.05494505539536476
boxcar,1200,0.75,4.3031210520457055,0.051948051899671555
boxcar,1200,0.5,4.472124662530672,0.04095904156565666
boxcar,1200,0.25,4.490847730296331,0.039960041642189026
boxcar,1200,0.1,4.476496411143042,0.05994005873799324
boxcar,2000,1.0,4.459963026586439,0.04595404490828514
