window_function,window_length,hop_fraction,PercSS,p_value
boxcar,0.05,1.0,2.262243439697284,0.039960041642189026
boxcar,0.05,0.9,2.2338213043740054,0.0419580414891243
boxcar,0.05,0.8,2.2338213043740054,0.04395604506134987
boxcar,0.05,0.75,2.2595580174506886,0.04095904156565666
boxcar,0.05,0.5,2.2487638846173206,0.03396603465080261
boxcar,0.05,0.25,2.2549679723892617,0.03696303814649582
boxcar,0.05,0.2,2.2549679723892617,0.037962038069963455
boxcar,0.05,0.1,2.2549679723892617,0.032967034727334976
boxcar,0.1,1.0,2.143827356182844,0.028971029445528984
boxcar,0.1,0.9,2.141267356037243,0.03696303814649582
boxcar,0.1,0.8,2.1539486788450604,0.026973027735948563
boxcar,0.1,0.75,2.1653228991591513,0.025974025949835777
boxcar,0.1,0.5,2.149807879711697,0.024975024163722992
boxcar,0.1,0.25,2.1469628039108373,0.023976024240255356
boxcar,0.1,0.2,2.1469628039108373,0.030969031155109406
boxcar,0.1,0.1,2.147861134134271,0.024975024163722992
boxcar,0.25,1.0,1.7795729680312466,0.04395604506134987
boxcar,0.25,0.9,1.7749645161641607,0.05994005873799324
boxcar,0.25,0.8,1.7807780028770062,0.046953048557043076
boxcar,0.25,0.75,1.7485584864327572,0.06593406945466995
boxcar,0.25,0.5,1.7792992228252977,0.05294705182313919
boxcar,0.25,0.25,1.759279852284664,0.04795204848051071
boxcar,0.25,0.2,1.7651575610326673,0.04895104840397835
boxcar,0.25,0.1,1.7668377641000297,0.049950048327445984
boxcar,0.5,1.0,1.8028452135491952,0.042957041412591934
boxcar,0.5,0.9,1.7993395672657064,0.0419580414891243
boxcar,0.5,0.8,1.8456678113447484,0.0279720276594162
boxcar,0.5,0.75,1.7555882392503832,0.039960041642189026
boxcar,0.5,0.5,1.7951057151792205,0.03896103799343109
boxcar,0.5,0.25,1.786940405408398,0.025974025949835777
boxcar,0.5,0.2,1.7990825239954003,0.04895104840397835
boxcar,0.5,0.1,1.78664006999172,0.03396603465080261
boxcar,1.0,1.0,1.9290789898470153,0.024975024163722992
boxcar,1.0,0.9,1.9398389003705694,0.0139860138297081
boxcar,1.0,0.8,1.975606650755087,0.01498501468449831
boxcar,1.0,0.75,1.9441662214545279,0.02997002936899662
boxcar,1.0,0.5,1.938850218907991,0.021978022530674934
boxcar,1.0,0.25,1.9250164793000715,0.023976024240255356
boxcar,1.0,0.2,1.9455573354190658,0.024975024163722992
boxcar,1.0,0.1,1.9416151193868538,0.02297702245414257
boxcar,5.0,1.0,2.12788719942834,0.0139860138297081
boxcar,5.0,0.9,2.125196487446063,0.011988012120127678
boxcar,5.0,0.8,2.0583610643268933,0.01498501468449831
boxcar,5.0,0.75,2.184389555276371,0.008991008624434471
boxcar,5.0,0.5,2.122496302939685,0.0139860138297081
boxcar,5.0,0.25,2.1261300696291956,0.009990010410547256
boxcar,5.0,0.2,2.098478676221098,0.012987012974917889
boxcar,5.0,0.1,2.1113897710645593,0.01498501468449831
boxcar,10.0,1.0,2.1492304526714157,0.00799200776964426
boxcar,10.0,0.9,2.1737780295699043,0.010989011265337467
boxcar,10.0,0.8,2.1402875488065773,0.010989011265337467
boxcar,10.0,0.75,2.2216735328530004,0.010989011265337467
boxcar,10.0,0.5,2.1194733729672754,0.01498501468449831
boxcar,10.0,0.25,2.1301565798521396,0.010989011265337467
boxcar,10.0,0.2,2.1442971010150407,0.0139860138297081
boxcar,10.0,0.1,2.133645533362469,0.008991008624434471
boxcar,15.0,1.0,2.191849941494043,0.00799200776964426
boxcar,15.0,0.9,2.2303427580371413,0.00799200776964426
boxcar,15.0,0.8,2.245151014019044,0.005994006060063839
boxcar,15.0,0.75,2.1589446568604536,0.005994006060063839
boxcar,15.0,0.5,2.2052691053341626,0.010989011265337467
boxcar,15.0,0.25,2.2043837381305607,0.009990010410547256
boxcar,15.0,0.2,2.184027007505698,0.00699300691485405
boxcar,15.0,0.1,2.2025784936239305,0.008991008624434471
boxcar,20.0,1.0,2.170508957878586,0.008991008624434471
boxcar,20.0,0.9,2.200195469593259,0.004995005205273628
boxcar,20.0,0.8,2.235904579956676,0.00799200776964426
boxcar,20.0,0.75,2.2673788132696413,0.009990010410547256
boxcar,20.0,0.5,2.186914259417466,0.009990010410547256
boxcar,20.0,0.25,2.1776931839803613,0.009990010410547256
boxcar,20.0,0.2,2.196831652791376,0.012987012974917889
boxcar,20.0,0.1,2.1943350439301774,0.00699300691485405
boxcar,25.0,1.0,2.253540088354857,0.004995005205273628
boxcar,25.0,0.9,2.276563976357795,0.0029970030300319195
boxcar,25.0,0.8,2.253184533548361,0.008991008624434471
boxcar,25.0,0.75,2.2849408239406253,0.005994006060063839
boxcar,25.0,0.5,2.2772480995161737,0.005994006060063839
boxcar,25.0,0.25,2.229433857523213,0.012987012974917889
boxcar,25.0,0.2,2.183006479664614,0.009990010410547256
boxcar,25.0,0.1,2.202267210050975,0.005994006060063839
boxcar,30.0,1.0,2.1626209120949134,0.008991008624434471
boxcar,30.0,0.9,2.173234528177799,0.011988012120127678
boxcar,30.0,0.8,2.186861673967167,0.008991008624434471
boxcar,30.0,0.75,2.252662725366518,0.00699300691485405
boxcar,30.0,0.5,2.2296532034942036,0.005994006060063839
boxcar,30.0,0.25,2.2156733892276286,0.011988012120127678
boxcar,30.0,0.2,2.2180090367672487,0.0139860138297081
boxcar,30.0,0.1,2.241323242495931,0.005994006060063839
boxcar,60.0,1.0,2.2558453958165727,0.010989011265337467
boxcar,60.0,0.9,2.2558453958165727,0.00699300691485405
boxcar,60.0,0.8,2.2558453958165727,0.009990010410547256
boxcar,60.0,0.75,2.2558453958165727,0.012987012974917889
boxcar,60.0,0.5,2.2558453958165727,0.005994006060063839
boxcar,60.0,0.25,2.2558453958165727,0.00799200776964426
boxcar,60.0,0.2,2.2558453958165727,0.00699300691485405
boxcar,60.0,0.1,2.2558453958165727,0.012987012974917889
hann,0.05,1.0,1.637171550571818,0.10289710015058517
hann,0.05,0.9,1.670619580923622,0.08791209012269974
hann,0.05,0.8,1.670619580923622,0.09490509331226349
hann,0.05,0.75,1.6480067551943232,0.08991008996963501
hann,0.05,0.5,1.6537888365567166,0.07392607629299164
hann,0.05,0.25,1.6482711044682932,0.07792207598686218
hann,0.05,0.2,1.6482711044682932,0.08591408282518387
hann,0.05,0.1,1.6482711044682932,0.09290709346532822
hann,0.1,1.0,2.0396743574807092,0.03496503457427025
hann,0.1,0.9,1.9784489378580379,0.04595404490828514
hann,0.1,0.8,2.019281408308467,0.03396603465080261
hann,0.1,0.75,2.0238105610719734,0.02997002936899662
hann,0.1,0.5,1.9771603607735528,0.056943055242300034
hann,0.1,0.25,1.9978986066637445,0.03696303814649582
hann,0.1,0.2,1.9978986066637445,0.049950048327445984
hann,0.1,0.1,1.9982062561971958,0.05494505539536476
hann,0.25,1.0,2.103902001148436,0.03496503457427025
hann,0.25,0.9,2.158404841231558,0.021978022530674934
hann,0.25,0.8,2.0795435756040384,0.026973027735948563
hann,0.25,0.75,2.0897188097231782,0.03896103799343109
hann,0.25,0.5,2.096792717284711,0.0279720276594162
hann,0.25,0.25,2.1010420837089816,0.03396603465080261
hann,0.25,0.2,2.097661818470039,0.024975024163722992
hann,0.25,0.1,2.0978607615562694,0.0279720276594162
hann,0.5,1.0,1.9238425947949274,0.030969031155109406
hann,0.5,0.9,1.8248483426786986,0.05494505539536476
hann,0.5,0.8,1.9575414152519068,0.023976024240255356
hann,0.5,0.75,1.9730864273374755,0.021978022530674934
hann,0.5,0.5,1.930841538591013,0.03396603465080261
hann,0.5,0.25,1.951706245560719,0.035964034497737885
hann,0.5,0.2,1.9518446995987973,0.0279720276594162
hann,0.5,0.1,1.9502692593464246,0.03196803107857704
hann,1.0,1.0,1.9088356259126968,0.025974025949835777
hann,1.0,0.9,1.9202514361593803,0.02097902074456215
hann,1.0,0.8,1.9219306967054528,0.02097902074456215
hann,1.0,0.75,1.9244404814700928,0.021978022530674934
hann,1.0,0.5,1.932477812225128,0.03196803107857704
hann,1.0,0.25,1.9263042122064313,0.021978022530674934
hann,1.0,0.2,1.9259249668822478,0.025974025949835777
hann,1.0,0.1,1.9252393328850934,0.028971029445528984
hann,5.0,1.0,2.2326729058850363,0.004995005205273628
