window_length_fraction,hop_fraction,window_function,SS_time,SS_treatment,SS_sex,SS_order,SS_residuals,p_time,p_treatment,p_sex,p_order
1,1,boxcar,0.9506611578556088,7.218791212644998,4.7768552346109585,5.325540552312213,80.19020714250857,0.36863136863136864,0.006993006993006993,0.006993006993006993,0.6463536463536463
1,1,hann,0.8469882213346882,9.1617014210536,4.059544621478319,5.715737296309403,81.97014214043502,0.43456543456543456,0.003996003996003996,0.02197802197802198,0.6483516483516484
1,1,blackman,1.0070872605661803,8.869567850834192,4.293139992308549,6.288953739710765,81.46389407632417,0.34965034965034963,0.005994005994005994,0.02197802197802198,0.5294705294705294
1,0.9,boxcar,0.9506611578556088,7.218791212644998,4.7768552346109585,5.325540552312213,80.19020714250857,0.32167832167832167,0.00999000999000999,0.005994005994005994,0.6353646353646354
1,0.9,hann,0.8469882213346882,9.1617014210536,4.059544621478319,5.715737296309403,81.97014214043502,0.42657342657342656,0.002997002997002997,0.03796203796203796,0.6513486513486514
1,0.9,blackman,1.0070872605661803,8.869567850834192,4.293139992308549,6.288953739710765,81.46389407632417,0.3776223776223776,0.000999000999000999,0.015984015984015984,0.5504495504495505
1,0.8,boxcar,0.9506611578556088,7.218791212644998,4.7768552346109585,5.325540552312213,80.19020714250857,0.3356643356643357,0.006993006993006993,0.017982017982017984,0.6383616383616384
1,0.8,hann,0.8469882213346882,9.1617014210536,4.059544621478319,5.715737296309403,81.97014214043502,0.4305694305694306,0.001998001998001998,0.03196803196803197,0.6173826173826173
1,0.8,blackman,1.0070872605661803,8.869567850834192,4.293139992308549,6.288953739710765,81.46389407632417,0.34865134865134867,0.004995004995004995,0.022977022977022976,0.5654345654345654
1,0.7,boxcar,0.9506611578556088,7.218791212644998,4.7768552346109585,5.325540552312213,80.19020714250857,0.3336663336663337,0.008991008991008992,0.011988011988011988,0.6193806193806194
1,0.7,hann,0.8469882213346882,9.1617014210536,4.059544621478319,5.715737296309403,81.97014214043502,0.42857142857142855,0.001998001998001998,0.03496503496503497,0.6453546453546454
1,0.7,blackman,1.0070872605661803,8.869567850834192,4.293139992308549,6.288953739710765,81.46389407632417,0.35864135864135865,0.001998001998001998,0.02097902097902098,0.5404595404595405
1,0.6,boxcar,0.9506611578556088,7.218791212644998,4.7768552346109585,5.325540552312213,80.19020714250857,0.32367632367632365,0.005994005994005994,0.006993006993006993,0.6393606393606394
1,0.6,hann,0.8469882213346882,9.1617014210536,4.059544621478319,5.715737296309403,81.97014214043502,0.43656343656343655,0.002997002997002997,0.026973026973026972,0.6303696303696303
1,0.6,blackman,1.0070872605661803,8.869567850834192,4.293139992308549,6.288953739710765,81.46389407632417,0.3546453546453546,0.006993006993006993,0.02197802197802198,0.5524475524475524
1,0.5,boxcar,0.9506611578556088,7.218791212644998,4.7768552346109585,5.325540552312213,80.19020714250857,0.3436563436563437,0.004995004995004995,0.007992007992007992,0.6453546453546454
1,0.5,hann,0.8469882213346882,9.1617014210536,4.059544621478319,5.715737296309403,81.97014214043502,0.43356643356643354,0.004995004995004995,0.025974025974025976,0.6583416583416584
1,0.5,blackman,1.0070872605661803,8.869567850834192,4.293139992308549,6.288953739710765,81.46389407632417,0.35664335664335667,0.008991008991008992,0.01898101898101898,0.5524475524475524
1,0.4,boxcar,0.9506611578556088,7.218791212644998,4.7768552346109585,5.325540552312213,80.19020714250857,0.35864135864135865,0.011988011988011988,0.013986013986013986,0.6543456543456544
1,0.4,hann,0.8469882213346882,9.1617014210536,4.059544621478319,5.715737296309403,81.97014214043502,0.4155844155844156,0.002997002997002997,0.029970029970029972,0.6373626373626373
1,0.4,blackman,1.0070872605661803,8.869567850834192,4.293139992308549,6.288953739710765,81.46389407632417,0.4075924075924076,0.003996003996003996,0.01998001998001998,0.5384615384615384
1,0.3,boxcar,0.9506611578556088,7.218791212644998,4.7768552346109585,5.325540552312213,80.19020714250857,0.34565434565434566,0.003996003996003996,0.006993006993006993,0.6133866133866134
1,0.3,hann,0.8469882213346882,9.1617014210536,4.059544621478319,5.715737296309403,81.97014214043502,0.42957042957042957,0.003996003996003996,0.017982017982017984,0.6503496503496503
1,0.3,blackman,1.0070872605661803,8.869567850834192,4.293139992308549,6.288953739710765,81.46389407632417,0.35764235764235763,0.002997002997002997,0.01898101898101898,0.5484515484515484
1,0.2,boxcar,0.9506611578556088,7.218791212644998,4.7768552346109585,5.325540552312213,80.19020714250857,0.32167832167832167,0.004995004995004995,0.004995004995004995,0.6413586413586414
1,0.2,hann,0.8469882213346882,9.1617014210536,4.059544621478319,5.715737296309403,81.97014214043502,0.3946053946053946,0.004995004995004995,0.017982017982017984,0.6533466533466533
1,0.2,blackman,1.0070872605661803,8.869567850834192,4.293139992308549,6.288953739710765,81.46389407632417,0.34265734265734266,0.005994005994005994,0.017982017982017984,0.5414585414585414
1,0.1,boxcar,0.9506611578556088,7.218791212644998,4.7768552346109585,5.325540552312213,80.19020714250857,0.33666333666333664,0.003996003996003996,0.00999000999000999,0.6373626373626373
1,0.1,hann,0.8469882213346882,9.1617014210536,4.059544621478319,5.715737296309403,81.97014214043502,0.4305694305694306,0.007992007992007992,0.03196803196803197,0.6153846153846154
1,0.1,blackman,1.0070872605661803,8.869567850834192,4.293139992308549,6.288953739710765,81.46389407632417,0.36663336663336665,0.005994005994005994,0.022977022977022976,0.5464535464535465
0.5,1,boxcar,2.239862836561417,6.065204677385997,10.177633203195581,6.197587795422864,74.59182192588206,0.05194805194805195,0.004995004995004995,0.000999000999000999,0.3856143856143856
0.5,1,hann,1.5118739363724567,6.598779593184909,9.09136859420985,4.997700084909834,76.0074416323357,0.16083916083916083,0.002997002997002997,0.000999000999000999,0.6863136863136863
0.5,1,blackman,1.5464290992161596,7.1123756913274105,9.028417156250692,5.062750207989226,77.00826136904146,0.13886113886113885,0.000999000999000999,0.000999000999000999,0.6903096903096904
0.5,0.9,boxcar,2.063202696331643,6.004143353197408,10.096125115763993,6.432972325440929,76.05334099157997,0.07192807192807193,0.003996003996003996,0.000999000999000999,0.3856143856143856
0.5,0.9,hann,1.5568206659580217,6.562917090688774,9.189542634256027,5.128373645599544,75.60634743506559,0.13286713286713286,0.003996003996003996,0.000999000999000999,0.6513486513486514
0.5,0.9,blackman,1.4318637830045604,6.938659152069053,9.146056105416168,5.3031974854398145,76.50375993343977,0.19080919080919082,0.004995004995004995,0.000999000999000999,0.6493506493506493
0.5,0.8,boxcar,2.283983410219039,4.590940610252335,4.353625753358183,20.66860280474741,69.62392057871747,0.04895104895104895,0.013986013986013986,0.003996003996003996,0.000999000999000999
0.5,0.8,hann,1.7217190571815784,6.198375676995331,8.392684693960177,13.128921651865424,70.35570115542585,0.08091908091908091,0.001998001998001998,0.000999000999000999,0.004995004995004995
0.5,0.8,blackman,2.0560816649272873,6.980861218474829,9.309909934061707,8.421415821002723,73.56955420472988,0.08491508491508491,0.002997002997002997,0.000999000999000999,0.12887112887112886
0.5,0.7,boxcar,1.4696482956288077,5.236597764679213,6.197224696716117,9.06690958743426,78.89730484235253,0.18081918081918083,0.02097902097902098,0.001998001998001998,0.11988011988011989
0.5,0.7,hann,2.0928816247112554,5.201264837432287,5.506739563906764,18.412483926167738,69.64663647872474,0.06393606393606394,0.01098901098901099,0.000999000999000999,0.000999000999000999
0.5,0.7,blackman,1.9036704807738538,5.973747336397097,5.502779915196242,17.765638094775483,69.36268878884383,0.08191808191808192,0.002997002997002997,0.000999000999000999,0.000999000999000999
0.5,0.6,boxcar,0.9451005220349551,8.403609592542368,4.528632487223792,5.444198263450966,80.40688228270814,0.36563436563436563,0.005994005994005994,0.01998001998001998,0.6333666333666333
0.5,0.6,hann,1.9157658124878103,5.513250186926235,4.49269350542133,15.281654232862167,73.50123837237749,0.08091908091908091,0.00999000999000999,0.002997002997002997,0.003996003996003996
0.5,0.6,blackman,1.9580875079604834,5.921307187534178,4.197546465110139,15.69618821115306,72.94240406860827,0.07392607392607392,0.006993006993006993,0.008991008991008992,0.000999000999000999
0.5,0.5,boxcar,1.6373886151664074,7.703398751103406,8.138493034977408,5.90267465529817,77.3402442030467,0.15184815184815184,0.004995004995004995,0.000999000999000999,0.5054945054945055
0.5,0.5,hann,1.0737466467103056,6.578734147211746,8.184854198531784,7.45895699209388,74.67536032105659,0.25074925074925075,0.001998001998001998,0.000999000999000999,0.21478521478521478
0.5,0.5,blackman,0.7405126107600938,6.108701082242259,8.147512701915455,9.619449126937681,73.36509537254095,0.43956043956043955,0.006993006993006993,0.000999000999000999,0.04295704295704296
0.5,0.4,boxcar,1.635083736269264,6.809407200899825,4.466970093422596,14.561360249876573,73.7540938205146,0.14285714285714285,0.003996003996003996,0.006993006993006993,0.001998001998001998
