window_length_fraction,hop_fraction,window_function,Mean_SS,Mean_perc_SS,SS_time,SS_treatment,SS_sex,SS_order,SS_residuals,F_time,F_treatment,F_sex,F_order,F_residuals,p_time,p_treatment,p_sex,p_order,dist_time,dist_treatment,dist_sex,dist_order
1,1,boxcar,119952.25458219381,42.79471006845018,0.6180019255008664,4.692762328973723,3.1053185548124027,3.4620056667570043,52.12972257346679,0.9958265492188759,3.7808760163480155,5.003801012687696,0.7969362956523642,nan,0.36363636363636365,0.005994005994005994,0.006993006993006993,0.6453546453546454,12.868211353550604,73.24410562078552,21.11381104484914,573.3863979398269
1,1,hann,111890.22302884689,38.946532878187625,0.6137416905919568,6.638720559768292,2.941613255369069,4.1417178927099245,59.39692235159686,0.8679625133529897,4.694288061926363,4.1600726715827685,0.8367540395160376,nan,0.43956043956043955,0.004995004995004995,0.02097902097902098,0.6483516483516484,10.879088143935988,76.95412388030704,19.924378955990964,601.1648962472186
1,1,blackman,110818.65048877093,39.59519309946515,0.7008275445331364,6.172292810531179,2.9875770223278386,4.37645493063443,56.69036149014618,1.0384395546854304,4.572846092847186,4.426792549544057,0.9263913262705451,nan,0.33666333666333664,0.005994005994005994,0.024975024975024976,0.5164835164835165,11.584662985864073,78.88013711841452,20.235662153473292,649.9387583672092
1,0.9,boxcar,119952.25458219381,42.79471006845018,0.6180019255008664,4.692762328973723,3.1053185548124027,3.4620056667570043,52.12972257346679,0.9958265492188759,3.7808760163480155,5.003801012687696,0.7969362956523642,nan,0.33466533466533466,0.008991008991008992,0.004995004995004995,0.6523476523476524,12.868211353550604,73.24410562078552,21.11381104484914,573.3863979398269
1,0.9,hann,111890.22302884689,38.946532878187625,0.6137416905919568,6.638720559768292,2.941613255369069,4.1417178927099245,59.39692235159686,0.8679625133529897,4.694288061926363,4.1600726715827685,0.8367540395160376,nan,0.42857142857142855,0.002997002997002997,0.03596403596403597,0.6403596403596403,10.879088143935988,76.95412388030704,19.924378955990964,601.1648962472186
1,0.9,blackman,110818.65048877093,39.59519309946515,0.7008275445331364,6.172292810531179,2.9875770223278386,4.37645493063443,56.69036149014618,1.0384395546854304,4.572846092847186,4.426792549544057,0.9263913262705451,nan,0.38461538461538464,0.001998001998001998,0.015984015984015984,0.5574425574425574,11.584662985864073,78.88013711841452,20.235662153473292,649.9387583672092
1,0.8,boxcar,119952.25458219381,42.79471006845018,0.6180019255008664,4.692762328973723,3.1053185548124027,3.4620056667570043,52.12972257346679,0.9958265492188759,3.7808760163480155,5.003801012687696,0.7969362956523642,nan,0.3256743256743257,0.006993006993006993,0.017982017982017984,0.6383616383616384,12.868211353550604,73.24410562078552,21.11381104484914,573.3863979398269
1,0.8,hann,111890.22302884689,38.946532878187625,0.6137416905919568,6.638720559768292,2.941613255369069,4.1417178927099245,59.39692235159686,0.8679625133529897,4.694288061926363,4.1600726715827685,0.8367540395160376,nan,0.43756243756243757,0.001998001998001998,0.03496503496503497,0.6123876123876124,10.879088143935988,76.95412388030704,19.924378955990964,601.1648962472186
1,0.8,blackman,110818.65048877093,39.59519309946515,0.7008275445331364,6.172292810531179,2.9875770223278386,4.37645493063443,56.69036149014618,1.0384395546854304,4.572846092847186,4.426792549544057,0.9263913262705451,nan,0.3596403596403596,0.004995004995004995,0.024975024975024976,0.5694305694305695,11.584662985864073,78.88013711841452,20.235662153473292,649.9387583672092
1,0.7,boxcar,119952.25458219381,42.79471006845018,0.6180019255008664,4.692762328973723,3.1053185548124027,3.4620056667570043,52.12972257346679,0.9958265492188759,3.7808760163480155,5.003801012687696,0.7969362956523642,nan,0.3246753246753247,0.008991008991008992,0.008991008991008992,0.6143856143856143,12.868211353550604,73.24410562078552,21.11381104484914,573.3863979398269
1,0.7,hann,111890.22302884689,38.946532878187625,0.6137416905919568,6.638720559768292,2.941613255369069,4.1417178927099245,59.39692235159686,0.8679625133529897,4.694288061926363,4.1600726715827685,0.8367540395160376,nan,0.44155844155844154,0.001998001998001998,0.03696303696303696,0.6453546453546454,10.879088143935988,76.95412388030704,19.924378955990964,601.1648962472186
1,0.7,blackman,110818.65048877093,39.59519309946515,0.7008275445331364,6.172292810531179,2.9875770223278386,4.37645493063443,56.69036149014618,1.0384395546854304,4.572846092847186,4.426792549544057,0.9263913262705451,nan,0.34565434565434566,0.001998001998001998,0.02097902097902098,0.5434565434565435,11.584662985864073,78.88013711841452,20.235662153473292,649.9387583672092
