window_length_fraction,hop_fraction,window_function,Mean_SS,Mean_perc_SS,SS_time,SS_treatment,SS_sex,SS_order,SS_residuals,SS_null,F_time,F_treatment,F_sex,F_order,F_residuals,F_null,p_time,p_treatment,p_sex,p_order,p_null,dist_time,dist_treatment,dist_sex,dist_order,dist_null
1,1,boxcar,115473.9008571255,41.196992293858955,1.3104081345386522,4.476207768165926,2.7844983131319756,3.027140795568969,3.405517692216447,49.39800954155149,2.1487314951090863,3.669913348598179,4.56585934244925,0.7977387163964909,1.654576818760522,nan,0.14685314685314685,0.00999000999000999,0.007992007992007992,0.6713286713286714,0.17182817182817184,0.023155945412283,-0.07916876391216432,-0.006474720804329405,-0.22753071114911727,-0.139033245234086
1,1,hann,115328.61771499843,40.14336266427056,0.5500679093544067,6.768773216261752,3.0776928399175127,2.997310765578578,4.4672688003019445,57.10508636294504,0.7802369893029109,4.8005411202124515,4.365515156546239,0.905220272385548,1.4171660674194277,nan,0.4805194805194805,0.004995004995004995,0.015984015984015984,0.6033966033966034,0.2967032967032967,-0.0012325747438287785,-0.10836129663430454,0.008261380814803885,-0.22744743790226932,-0.11830585595692723
1,1,blackman,114087.13825424129,40.76301461367996,0.4584162361985892,6.556387407923038,3.4049411018266804,1.3130094418087257,4.095722399489185,55.99196437583753,0.6631615008690308,4.74235353199128,4.925710900169427,0.8464314428400553,0.6331489763580082,nan,0.5524475524475524,0.005994005994005994,0.014985014985014986,0.6483516483516484,0.7472527472527473,-0.008747082006586556,-0.09859102012882016,-0.008052944403729159,-0.23950069260859838,-0.12280512580605844
1,0.9,boxcar,120593.49689191571,43.02348258151177,0.6760990155136342,4.655445359146223,3.1577189304983344,1.0181763372074537,3.0316574387285,51.194117475265166,1.069732675498587,3.6829531661820187,4.9961840536453215,0.6852468454454048,0.5369906243209217,nan,0.3106893106893107,0.013986013986013986,0.007992007992007992,0.7952047952047953,0.8341658341658341,0.01772103406145588,-0.082706084141903,0.0004441903979376796,-0.23029383151119717,-0.11263621771601832
1,0.9,hann,106502.06810046,37.07103431012162,0.6143832159021804,6.5940787154819365,2.623108397541074,0.678470523868424,4.283733588610883,59.02173044277086,0.8431647143306006,4.524777331562102,3.5998907284977966,0.8398418153412776,0.31037219693532675,nan,0.4695304695304695,0.006993006993006993,0.04995004995004995,0.6683316683316683,0.961038961038961,-0.009617993022048453,-0.10753834203742163,-0.0019202672623133685,-0.25768868366595554,-0.08482146570016941
1,0.9,blackman,111421.849606826,39.810714453059305,0.7888553539632951,6.124047100930985,2.9141144421120067,1.7643027502189237,4.355953438273471,55.12386427001448,1.159158279579918,4.499392611026029,4.282052300521902,0.914388073821388,0.8641660900725969,nan,0.32867132867132864,0.002997002997002997,0.024975024975024976,0.5724275724275725,0.5434565434565435,-0.010073165526455688,-0.10742904469440069,-0.003461179200592522,-0.24083804341134607,-0.10844947073057613
1,0.8,boxcar,122659.38184147538,43.760517060431056,0.545894532854892,4.659704887667178,2.890314974660072,2.256669389554243,2.7753728740580628,49.63300631917221,0.8908881496498421,3.8022691339094403,4.716931943270819,0.6470498434997665,1.2276119871954752,nan,0.3866133866133866,0.01098901098901099,0.02197802197802198,0.8311688311688312,0.3196803196803197,0.04073494681854858,-0.08377402100829758,0.006327260983843904,-0.24312501152726637,-0.15569471042962515
1,0.8,hann,113702.39889062461,39.5773115545657,0.7609067415858379,6.581143990589113,2.820347997587126,1.5193094225680381,4.154743563658902,58.11954793359673,1.0604598325312318,4.586001458982175,3.9306600950435113,0.8271970462401079,0.7058099360340022,nan,0.37162837162837165,0.006993006993006993,0.03496503496503497,0.6633366633366633,0.7162837162837162,0.008030964451511129,-0.10937431322660739,-0.0014974750706818793,-0.23778700107698278,-0.10744881048841019
1,0.8,blackman,109443.72716186184,39.10393684985542,0.5992586534948645,6.989195458291429,3.0043896121024227,1.197290408601585,4.430898082387807,55.61304215216485,0.8728159628504428,5.089856715378123,4.375872082567293,0.9219387877998773,0.5812816523108404,nan,0.43156843156843155,0.002997002997002997,0.02197802197802198,0.5854145854145855,0.8241758241758241,-0.008379078646277632,-0.1071799547448431,-0.006937659966656742,-0.23572189665043164,-0.12006189369101694
1,0.7,boxcar,111655.68990062876,39.83479004570118,0.28495836651530715,4.27083483345458,3.454261846653632,2.8081357252138734,4.532270967008594,49.89099596123116,0.4626411488292585,3.4669344121596515,5.608130368781672,1.0511886714358802,1.5197063742662473,nan,0.6503496503496503,0.014985014985014986,0.013986013986013986,0.4035964035964036,0.25074925074925075,0.026715072330809997,-0.08619509526277934,0.0018194094380158347,-0.21799619493421565,-0.12250557432170944
